,BaseDateTime,UniqueVessels
0,2020-01-01 00:00:00,18
1,2020-01-01 01:00:00,17
2,2020-01-01 02:00:00,16
3,2020-01-01 03:00:00,15
4,2020-01-01 04:00:00,15
5,2020-01-01 05:00:00,15
6,2020-01-01 06:00:00,15
7,2020-01-01 07:00:00,15
8,2020-01-01 08:00:00,15
9,2020-01-01 09:00:00,15
10,2020-01-01 10:00:00,15
11,2020-01-01 11:00:00,15
12,2020-01-01 12:00:00,15
13,2020-01-01 13:00:00,15
14,2020-01-01 14:00:00,15
15,2020-01-01 15:00:00,15
16,2020-01-01 16:00:00,14
17,2020-01-01 17:00:00,14
18,2020-01-01 18:00:00,14
19,2020-01-01 19:00:00,14
20,2020-01-01 20:00:00,14
21,2020-01-01 21:00:00,14
22,2020-01-01 22:00:00,15
23,2020-01-01 23:00:00,15
24,2020-01-02 00:00:00,14
25,2020-01-02 01:00:00,14
26,2020-01-02 02:00:00,14
27,2020-01-02 03:00:00,14
28,2020-01-02 04:00:00,14
29,2020-01-02 05:00:00,15
30,2020-01-02 06:00:00,15
31,2020-01-02 07:00:00,16
32,2020-01-02 08:00:00,17
33,2020-01-02 09:00:00,20
34,2020-01-02 10:00:00,23
35,2020-01-02 11:00:00,24
36,2020-01-02 12:00:00,26
37,2020-01-02 13:00:00,27
38,2020-01-02 14:00:00,29
39,2020-01-02 15:00:00,30
40,2020-01-02 16:00:00,30
41,2020-01-02 17:00:00,29
42,2020-01-02 18:00:00,29
43,2020-01-02 19:00:00,28
44,2020-01-02 20:00:00,29
45,2020-01-02 21:00:00,29
46,2020-01-02 22:00:00,27
47,2020-01-02 23:00:00,29
